// Rain Meadow Chinese Translation by METeam(Mass-Energy Trans team)
// 模组名 & 简介
henpemaz_rainmeadow-name|雨甸
henpemaz_rainmeadow-description|多人游戏引擎，包含剧情，竞技场和一个受Might和Delight的“Meadow”所启发的自定义模式。

// 模组入口
MEADOW|联机

// 房间选择菜单
Lobby Mode|房间游戏模式
All|全部
Public Lobbies Only|仅公开房间
Max Lobby Size|房间容量上限
Lobby Mods|房间模组
Unfiltered|全部
Exact order|精确顺序
Any order|任意顺序
Direct Connect|直接连接
Direct Connection is only available in the Local Matchmaker|仅在本地匹配器中支持直连
Lobby Domain|房间服务器
Local|本地
Router|路由器
Steam|Steam
Failed to join lobby.<LINE> Lobby is full|加入房间失败。<LINE> 房间已满
Failed to join lobby.<LINE>|加入房间失败。<LINE>
Password Required|需要密码
Wrong password!|密码错误！
Joining lobby...|正在加入房间...
Online:|在线:
Lobbies:|房间:
Rain Meadow Version:|雨甸版本:
Credits|制作组

// 卡片式房间选择页面
Search Lobbies|搜索房间
Click to join|点击加入
<USERNAME>'s Lobby|<USERNAME>的房间
Private|私密
max|上限
player|玩家
players|玩家
Sort by Ping|按延迟排序
Sort A to Z|按A-Z排序
Sort Z to A|按Z-A排序
Sort by Fullest Lobby|按最满房间排序
Sort by Emptiest Lobby|按最空房间排序
Unknown Sorting Method|未知排序方法
Refresh list|刷新列表

// 创建房间菜单
CREATE!|创建！
Mode:|模式:
Meadow|牧原
A peaceful mode about exploring around and discovering little secrets, together or on<LINE>your own.|一个关于探索周遭和发掘秘密的和平模式，团队协作或独自游玩。
Story|剧情
Adventure together with friends in the world of Rain World, fight together and die<LINE>together.|与朋友一同在雨世界的世界里冒险，一起战斗，一起死亡。
Arena|竞技场
Fight against unforgiving creatues and foes where only the strong survive.|与无情的生物和敌人战斗，唯强者生。
Visibility:|可见性:
Public|公开
Friends Only|仅好友可见
Invite Only|仅邀请
Password|密码
Lobby Password|房间密码
Player max:|玩家上限:
Maximum number of players that can be in the lobby (up to 32)|房间可容纳的人数上限【至多32人】
Creating lobby...|正在创建房间...
Anniversary Gags:|周年庆乐子:

// 牧原选角场景
Locked|未锁定
ENTER|进入
Tint color|色彩
Tint amount|色彩强度
SKINS|皮肤
SLUGCAT|蛞蝓猫
Survivor|求生者
Monk|僧侣
Hunter|猎人
Fluffy|毛毛
Night|夜猫
LIZARD|蜥蜴
Pink|粉色
Blue|蓝色
Yellow|黄色
Red|烈焰
Black|黑色
Axo|白蝾螈
Sala|黑蝾螈
Cyan|青色
Fluffers|毛茸茸
CICADA|蝉乌贼
White|白色
Dark|黑色
SCAVENGER|拾荒者
Twigs|细枝
Acorn|橡果
Oak|橡树
Shrub|灌木
Branches|树枝
Sage|鼠尾草
Cherry|樱桃
Lavender|薰衣草
Peppermint|薄荷
Juniper|杜松
NOODLEFLY|面条蝇
Lily|百合
Rose|玫瑰
Poppy|罂粟
Lotus|莲花
Lilac|丁香
Petunia|矮牵牛
Jasmine|茉莉
Gardenia|栀子
EGGBUG|蛋虫
Citrus|柑橘
Blueberry|蓝莓
Kiwi|猕猴桃
Mango|芒果
Dragonfruit|火龙果
LANTERN MOUSE|光鼠
Saphire|蓝宝石
Ruby|红宝石
Acquamarine|海蓝宝石
Citrine|黄水晶
Emerald|翡翠
Quartz|石英
Amethyst|紫水晶
Opal|蛋白石
Garnet|石榴石
New character!|新角色！

// 牧原模式
CLEAR|清除
CONTINUE|继续
Close this menu|关闭此菜单
TO HUB|返回中心
Teleport to the closest hub|传送至最近的中心
TO OUTSKIRTS|返回郊区
Teleport to outskirts|传送至郊区
PASSAGE|传送
Passage to another shelter|传送至其他避难所
UNSTUCK|脱离
Teleport to a nearby pipe|传送至最近的管道
LOBBY|房间
Go back to the charater selection screen|返回选择角色屏幕
QUIT|退出
Exit back to the main menu|返回主菜单
Hub zone volume|中心区音量
Display names|显示名称
Collision|碰撞
New character unlocked|新角色已解锁
New emote unlocked|新表情已解锁
New skin unlocked|新皮肤已解锁

// 故事模式
Selected Slugcat|选中的蛞蝓猫
Press on the button to open/close the slugcat selection list|点击按钮打开/关闭蛞蝓猫选择列表
Current Campaign: |当前角色线:
 - New Game| - 新游戏
Unknonw Region|未知区域
Invite Friends|邀请好友
Friendly Fire|友伤
Require Campaign Slugcat|需要游戏中蛞蝓猫
Match save|存档匹配
PLAYERS|玩家
Press again to ban player!|再次点击可封禁玩家！
Wait for others to shelter or rescue you, press |等待他人进入避难所或自杀，按下
 to spectate, or press PAUSE BUTTON to dismiss message|以旁观，或按下"空格"以关闭消息
READY|准备

// 竞技场模式
ME|我
Got All<LINE>ScugSlots!!|获得全部<LINE>蛞蝓猫槽位！！
Joining<LINE>soon!|即将<LINE>加入！
Ready!|准备就绪！
Selecting<LINE>Slugcat|正在选择<LINE>蛞蝓猫
In Game!|游戏中！
Showing players in thumbnail view|缩略图显示玩家
Showing players in list view|列表显示玩家
Current Mode:|当前模式:
Do some wacky stuff around here!|在这里做些疯狂的事！
Free For All|自由混战
Trust no one. Last scug standing wins|不要相信任何人，站到最后的蛞蝓猫获胜
Team Battle|团队战
Choose a faction. Last team standing wins.|选择阵营，站到最后的队伍获胜
Join Team "<TEAMNAME>"|加入队伍"<TEAMNAME>"
POST-GAME STATS|赛后统计
WINS|胜利
KILLS|击杀
DEATHS|死亡
This game mode doesnt have any info to give|此游戏模式没有信息可提供
Ready:|准备:
Playlist Progress:|游戏列表进度:
WAIT FOR OTHERS|等待其他人
FORCE READY|强制准备
LOBBY WILL LOCK|房间将锁定
JOIN?|加入？
QUEUED TO JOIN|排队加入
READY?|准备？
UNREADY|取消准备
WAITING|等待中
Ready up to join the host when the match begins|比赛开始时准备加入主机
START MATCH!|开始比赛！
Waiting for others...|等待其他人……
Waiting for host...|等待主机……
Welcome to Arena Online!<LINE>All players must ready up to begin.|欢迎来到在线竞技场！<LINE>所有玩家必须准备好才能开始游戏。
Exit to Lobby Select|退出到房间选择
Click to open <TABNAME> tab|点击打开<TABNAME>标签
Arena Playlist|竞技场游玩列表
Search for levels|搜索关卡
Search levels|搜索关卡
Match Settings|比赛设置
Spears Hit:|长矛命中:
Repeat Rooms:|房间重复次数:
Invite friends|邀请朋友
Item Stealing|物品偷窃
Players can steal items from each other|玩家可以互相偷窃物品
Players cannot steal items from each other|玩家不能互相偷窃物品
Join In Progress|中途加入
Players can join each round|玩家可以每回合加入
Players can only join at the first round|玩家只能在第一回合加入
Better Hitbox|更好的碰撞箱
Thrown weapons are corrected to prevent no-clips|投掷武器会被修正以防止穿模
