0// Mod Name & Description
henpemaz_rainmeadow-name|레인 메도우
henpemaz_rainmeadow-description|멀티플레이어 엔진과 Might&Delight의 Meadow에서 영감을 받은 커스텀 <LINE> 게임, 온라인 아레나와 스토리 플레이. 메도우의 모든 크레딧은 레인메도우의 모드 메뉴에서 확인할 수 있습니다.


// Mod Tab
MEADOW|메도우

// Lobby Select Menu
Lobby Mode|로비 모드
All|전부
Public Lobbies Only|공개 로비만
Max Lobby Size|로비 최대 인원
Lobby Mods|로비 모드
Unfiltered|없음
Exact order|전부 일치
Any order|부분 일치
Direct Connect|직접 연결
Direct Connection is only available in the Local Matchmaker|직접 연결하는 방법은 로컬 연결에서만 사용할 수 있습니다
Lobby Domain|도메인 명
Local|로컬
Router|라우터
Steam|Steam
Failed to join lobby.<LINE> Lobby is full|로비 연결에 실패했습니다. <LINE>로비 인원이 가득찼습니다.
Failed to join lobby.<LINE>|로비에 참여하지 못했습니다.<LINE>
Password Required|비밀번호를 입력하세요.
Wrong password!|비밀번호가 일치하지 않습니다!
Joining lobby...|로비에 참가하는 중...
Online:|온라인:
Lobbies:|로비:
Rain Meadow Version:|레인 메도우의 버전:
Credits|크레딧

// Lobby Cards Selector
Search Lobbies|로비 검색
Click to join|클릭해 참가:
<USERNAME>'s Lobby|<USERNAME>의 로비
Private|비공개
max|최대
player|명
players|명
Sort by Ping|통신 속도
Sort A to Z|오름차순
Sort Z to A|내림차순
Sort by Fullest Lobby|최대 인원별 정렬
Sort by Emptiest Lobby|비어있는 로비별 정렬
Unknown Sorting Method|미지의 정렬 방법
Refresh list|로비 리스트 갱신

// Lobby Create Menu
CREATE!|만들기!
Mode:|모드:
Meadow|메도우
A peaceful mode about exploring around and discovering little secrets, together or on<LINE>your own.|맵을 탐색하며 작은 비밀을 발견할 수 있는 평화로운 모드. 혼자서도, 함께여도 즐길 수 있습니다.
Story|스토리
Adventure together with friends in the world of Rain World, fight together and die<LINE>together.|레인월드 세계에서 친구와 함께 모험하고, 함께 전투하고, 함께 죽습니다…
Arena|아레나
Fight against unforgiving creatures and foes where only the strong survive.|강자만이 살아남는 세계에서, 가차 없는 생물과 적과 싸워보세요.
Visibility:|공개 범위:
Public|공개
Friends Only|친구만
Invite Only|초대 전용
Password|비밀번호
Lobby Password|로비 비밀번호
Player max:|최대 인원:
Maximum number of players that can be in the lobby (up to 32)|로비에 참여할 수 있는 최대 인원 (최대 32명)
Creating lobby...|로비를 생성하는 중...
//抜け
Password:|로비 비밀번호:

// Meadow Character Select
Locked|잠금
ENTER|입장
Tint color|색깔
Tint amount|불투명도
SKINS|스킨
SLUGCAT|슬러그캣
Survivor|생존자
Monk|수도승
Hunter|사냥꾼
Fluffy|스트림
Night|나이트
LIZARD|도마뱀
Pink|분홍
Blue|파랑
Yellow|노랑
Red|빨강
Black|검정
Axo|도롱뇽
Sala|도롱뇽
Cyan|시안
Fluffers|플러퍼
CICADA|오징어 매미
White|하양
Dark|검정
SCAVENGER|스캐빈저
Twigs|잔가지
Acorn|도토리
Oak|오크
Shrub|관목
Branches|나뭇가지
Sage|현자
Cherry|체리
Lavender|라벤더
Peppermint|박하
Juniper|주니퍼
NOODLEFLY|국수 파리
Lily|백합
Rose|장미
Poppy|양귀비
Lotus|연꽃
Lilac|라일락
Petunia|페튜니아
Jasmine|재스민
Gardenia|치자나무
EGGBUG|알벌레
Citrus|시트라스
Blueberry|블루베리
Kiwi|키위
Mango|망고
Dragonfruit|용과
LANTERN MOUSE|등불 쥐
Saphire|사파이어
Ruby|루비
Acquamarine|아쿠아마린
Citrine|황수정
Emerald|에메랄드
Quartz|석영
Amethyst|자수정
Opal|오팔
Garnet|가넷
New character!|새로운 캐릭터!

// Meadow Mode
CLEAR|선택 취소
//CONTINUE|계속하기
Close this menu|이 메뉴를 닫는다
TO HUB|피난처로
Teleport to the closest hub|가장 가까운 피난처로 텔레포트한다
TO OUTSKIRTS|교외로 텔레포트
Teleport to outskirts|교외로 텔레포트
PASSAGE|통행권
Passage to another shelter|피난처 안에서 알고 있는 다른 피난처 장소로 이동합니다
UNSTUCK|갇힘 해소
Teleport to a nearby pipe|가장 가까운 파이프로 워프해 움직일 수 없는 현상을 해소합니다
LOBBY|로비
Go back to the charater selection screen|캐릭터 선택 화면으로 돌아갑니다
QUIT|종료
Exit back to the main menu|메인 메뉴로 이동합니다
Hub zone volume|허브 구역 볼륨
Display names|이름 표시
Collision|충돌
New character unlocked|새로운 캐릭터 잠금 해제
New emote unlocked|새로운 이모티콘 잠금 해제
New skin unlocked|새로운 스킨 잠금 해제

// Story Mode
Selected Slugcat|슬러그캣 선택
Press on the button to open/close the slugcat selection list|클릭하면 슬러그캣 선택 리스트를 엽니다
Current Campaign: |현재 진행 중인 캠페인:
 - New Game| - 새 게임
Unknonw Region|불분명한 지역
Invite Friends|친구 초대
/// ↓If translated, this text is coverd by check box but there is no word to explaing this text... :( If return key is enable...
Friendly Fire| 팀킬 적용
Require Campaign Slugcat|               슬러그캣 고정
Sync Save|매치 저장
Restart game|개임을 재시작
PLAYERS|플레이어
Press again to ban player!|차단할 플레이어를 다시 선택해 주세요!
Wait for others to shelter or rescue you, press |다른 플레이어가 당신을 구출하거나 비를 피할 곳에 도착하기를 기다리는 동안「
 to spectate, or press PAUSE BUTTON to dismiss message|」키를 눌러 다른 플레이어를 관전할 수 있습니다. 「일시정지」키로 이 메시지를 숨기기
READY|준비

// Arena Mode
How many explosions Artificer can use before cooldown|기술병이 죽지 않고 사용할 수 있는 폭발 횟수
ME|자신
Got All<LINE>ScugSlots!!|슬롯이<LINE>가득 찼습니다!!
Joining<LINE>soon!|참가 대기 중!
Ready!|준비!
Selecting<LINE>Slugcat|캐릭터를<LINE>선택하는 중
In Game!|플레이 중!
Showing players in thumbnail view|썸네일 표시
Showing players in list view|리스트 표시
Current Mode:|현재 모드:
Do some wacky stuff around here!|여기서 조금 이상한 걸 해봐!
Free For All|자유 참여
Trust no one. Last scug standing wins|아무도 믿지 마세요. 마지막까지 살아있는 팀이 승리합니다.
Team Battle|팀 배틀
Choose a faction. Last team standing wins.|팀을 선택합니다. 마지막까지 살아있는 팀이 승리합니다.
Join Team "<TEAMNAME>"|"<TEAMNAME>"에 참여
