0// Mod Name & Description
henpemaz_rainmeadow-name|Rain Meadow
henpemaz_rainmeadow-description|Un motor multijugador, modo de juego personalizado inspirado en «Meadow» de Might & Delight, y experiencia en línea para el modo arena e historia.<LINE><LINE>Para ver los créditos completos dirígete al workshop o a la página de créditos en el menú de Meadow.

// Mod Tab
MEADOW|MEADOW

// Lobby Select Menu
Lobby Mode|Modo de la sala
All|Todos
Public Lobbies Only|Solo salas públicas
Max Lobby Size|Tamaño máximo de la sala
Lobby Mods|Mods de la sala
Unfiltered|Sin filtro
Exact order|Orden exacto
Any order|Cualquier orden
Direct Connect|Conexión directa
Direct Connection is only available in the Local Matchmaker|La conexión directa sólo está disponible en el buscador de partidas local.
Lobby Domain|Dominio de la sala
Local|Local
Router|Rúter
Steam|Steam
Failed to join lobby.<LINE> Lobby is full|Error al unirte a la sala.<LINE> La sala está llena.
Failed to join lobby.<LINE>|Error al unirte a la sala.<LINE>
Password Required|Contraseña requerida
Wrong password!|¡Contraseña incorrecta!
Joining lobby...|Uniéndote a la sala...
Online:|En línea:
Lobbies:|Salas:
Rain Meadow Version:|Versión de Rain Meadow:
Credits|Créditos

// Lobby Cards Selector
Search Lobbies|Buscar salas
Click to join|Haz clic para unirte a la
<USERNAME>'s Lobby|Sala de <USERNAME>
Private|Privada
max|máx.
player|jugador
players|jugadores
Sort by Ping|Ordenar por el ping
Sort A to Z|Ordenar de la A a la Z
Sort Z to A|Ordenar de la Z a la A
Sort by Fullest Lobby|Ordenar por la sala más llena
Sort by Emptiest Lobby|Ordenar por la sala más vacía
Unknown Sorting Method|Método de ordenamiento desconocido
Refresh list|Actualizar lista

// Lobby Create Menu
CREATE!|¡CREAR!
Mode:|Modo:
Meadow|Meadow
A peaceful mode about exploring around and discovering little secrets, together or on<LINE>your own.|Un modo pacífico sobre explorar tus alrededores y descubrir pequeños secretos,<LINE>en grupo o por tu cuenta.
Story|Historia
Adventure together with friends in the world of Rain World, fight together and die<LINE>together.|Aventúrate junto con amigos en el mundo de Rain World, lucha en grupo y muere<LINE>en grupo.
Arena|Arena
Fight against unforgiving creatues and foes where only the strong survive.|Lucha contra enemigos y criaturas despiadados donde solamente el más fuerte<LINE>sobrevive.
Visibility:|Visibilidad:
Public|Pública
Friends Only|Solo amigos
Invite Only|Solo invitación
Password|Contraseña
Lobby Password|Contraseña de la sala
Player max:|Jugadores:
Maximum number of players that can be in the lobby (up to 32)|Número máximo de jugadores que pueden estar en la sala (hasta 32)
Creating lobby...|Creando la sala...

// Meadow Character Select
Locked|Bloqueado
ENTER|ENTRAR
Tint color|Color de tinte
Tint amount|Cantidad de tinte
SKINS|ASPECTOS
SLUGCAT|GATO-BABOSA
Survivor|Superviviente
Monk|Monje
Hunter|Cazador
Fluffy|Esponjoso
Night|Nocturno
LIZARD|LAGARTO
Pink|Rosa
Blue|Azul
Yellow|Amarillo
Red|Rojo
Black|Negro
Axo|Ajolote
Sala|Salamandra
Cyan|Cian
Fluffers|Peludo
CICADA|CALAMIGARRA
White|Blanco
Dark|Oscuro
SCAVENGER|CARROÑERO
Twigs|Ramitas
Acorn|Bellota
Oak|Roble
Shrub|Arbusto
Branches|Ramas
Sage|Salvia
Cherry|Cerezo
Lavender|Lavanda
Peppermint|Menta
Juniper|Enebro
NOODLEFLY|MOSCAFIDEO
Lily|Azucena
Rose|Rosa
Poppy|Amapola
Lotus|Loto
Lilac|Lila
Petunia|Petunia
Jasmine|Jazmín
Gardenia|Gardenia
EGGBUG|BICHOHUEVO
Citrus|Cítrico
Blueberry|Arándano
Kiwi|Kiwi
Mango|Mango
Dragonfruit|Pitahaya
LANTERN MOUSE|RATÓN FAROL
Saphire|Zafiro
Ruby|Rubí
Acquamarine|Aguamarina
Citrine|Citrina
Emerald|Esmeralda
Quartz|Cuarzo
Amethyst|Amatista
Opal|Ópalo
Garnet|Granate
New character!|¡Nuevo personaje!

// Meadow Mode
CLEAR|LIMPIAR
CONTINUE|CONTINUAR
Close this menu|Cerrar este menú
TO HUB|AL CENTRO
Teleport to the closest hub|Teletransportarte al centro más cercano
TO OUTSKIRTS|A LAS AFUERAS
Teleport to outskirts|Teletransportarte a las afueras
PASSAGE|PASAJE
